ID,SQ,SG,sex,group,BM,BH,SH,CA,dAPHV,APHV,0-10m,10-30m,0-30m,30-60m,0-60m,FOST,TH,CMJ,DJ,12MR,FJT,SUs,SUb
1121,LK,1,m,J,65,180,93,16.33,2.38,13.95,1.72,2.38,4.1,3.47,7.57,13.66,8.45,52.8,2.21,,19.15,,
1122,LK,0,f,J,66.5,172.5,88,14.59,2.62,11.97,1.91,2.84,4.75,4.03,8.78,12.88,7.56,39.5,1.28,2570,13.48,16,
1123,LK,0,m,J,66.9,180.5,93.5,17.22,2.95,14.28,1.62,2.28,3.9,3.21,7.11,14.4,10.15,56.7,2.13,2600,18.03,,9
1124,LK,0,f,J,41.6,156,80,13.91,1.11,12.8,1.91,2.92,4.83,4.27,9.1,5.67,5.05,28.4,1.26,3150,12.03,5,
1126,LK,0,f,J,64,174,94,15.68,3.57,12.11,1.8,2.63,4.43,3.72,8.16,11.45,8.29,38.7,1.7,2430,14.8,,5
1127,LK,0,m,J,58.8,178,92,15.61,1.79,13.81,1.7,2.38,4.11,3.37,7.48,11.1,9.8,40,1.94,,17.1,7,
1128,PK,4,m,J,73,194,95,15.6,2.3,13.3,1.73,2.36,4.1,3.36,7.48,13.85,10.5,46.8,1.97,2870,17.99,,21
1130,NK1,3,f,J,60.15,182,93,16.57,4.32,12.25,1.87,2.78,4.67,3.97,8.64,11.57,7.59,35.2,1.53,2530,15.07,11,1
1131,NK1,3,m,J,43.3,164,80,14.65,-0.4,15.05,1.77,2.83,4.61,4.03,8.64,6.48,7.53,34.2,0.97,3315,14.29,,
1132,LK,0,f,J,62.1,174,89,14.99,2.92,12.08,1.87,2.62,4.49,3.67,8.16,12.16,8.93,37.3,1.24,2400,15.46,10,
1136,LK,0,f,J,66.2,178,94,17,4.46,12.55,1.9,2.53,4.43,3.68,8.13,11.74,9.3,39.8,1.55,2600,15.34,7,
1138,LK,0,f,J,54.7,163,87,14.78,2.28,12.5,1.74,2.67,4.41,3.92,8.33,10.35,8.19,34.7,1.19,,13.8,,
1145,LK,0,m,J,63.7,183,93,14.34,1.3,13.03,1.7,2.53,4.23,3.67,7.92,11.8,8.92,39.7,1.67,3050,15.05,16,
1146,LK,0,f,J,57.1,182,94,14.38,3.09,11.29,1.78,2.93,4.71,4.18,8.89,8.21,8.45,34.6,0.85,2825,12.86,,
1150,LK,1,f,J,67.7,179,93,17.46,4.69,12.78,1.76,2.53,4.29,3.7,7.99,12.92,8.8,46.7,1.92,,15.82,,7
1151,LK,0,f,J,60.8,173,90,13.88,2.32,11.56,1.79,2.66,4.45,3.91,8.36,10.84,8.1,35,1.26,2520,13.94,,4
1154,LK,0,f,J,60,177,92.5,14.95,3.17,11.77,1.74,2.57,4.31,3.75,8.06,10.74,8.73,38.7,1.72,2450,15.28,5,5
1156,NK1,3,f,J,62.7,171.3,90.3,15.36,3.1,12.27,1.73,2.54,4.3,3.59,8,13.33,8.58,41,1.52,2700,14.9,24,
1157,LK,0,f,J,67.1,180,90,14.55,2.95,11.6,1.72,2.52,4.24,3.62,7.86,14.11,8.79,46.1,1.51,2215,15.15,5,
1158,LK,0,f,J,56.5,175,89,15.59,3.26,12.33,,,,,,11.9,8.7,35,1.25,2550,13.3,1,
1159,NK2,2,f,J,59,179,91.9,16.7,4.21,12.49,1.78,2.38,4.16,3.34,7.5,11.88,7.79,,2.17,,15.28,,5
1161,NK1,3,m,J,65.2,180.7,93.8,15.81,2.22,13.6,1.69,2.18,3.87,2.97,6.84,15.01,11.25,61.8,2.39,2860,18.91,19,
1162,LK,1,m,J,69,173.5,93,18.3,3.53,14.76,,,,3.01,,16.37,8.77,61,2.8,,19.35,30,
1165,LK,0,f,J,53.4,166,86,15.71,2.82,12.89,,,4.11,3.43,7.54,12.67,7.2,41.62,1.57,2450,,,
1166,LK,0,m,J,65.6,180,91,14.72,1.28,13.44,1.68,2.34,4.04,3.27,7.32,14.25,10.46,60,1.9,3175,17.38,14,
1168,LK,0,f,J,47.7,155.8,79.5,14.41,1.41,13.01,1.91,2.73,4.64,3.99,8.63,8.54,6.6,38.2,1.27,2500,12.75,,17
