"","sex","CAc","APHV_resid.trend","SE","df","lower.CL","upper.CL","name"
"24","m",1.59005056890013,-0.00744670725160609,0.00799034292109836,598.513680885152,0.00824581070653935,-0.0231392252097515,"10-30m"
"25","f",2.59005056890013,-0.00924063244521418,0.0120475559370996,588.157675999815,0.0144208342742486,-0.0329020991646769,"10-30m"
"26","m",2.59005056890013,-0.0156864384498746,0.0115488065118704,510.547401467424,0.00700259347160749,-0.0383754703713567,"10-30m"
"27","f",3.59005056890013,-0.0135232197531912,0.0157220678777988,567.034510680434,0.0173573808392451,-0.0444038203456274,"10-30m"
"28","m",3.59005056890013,-0.0239261696481431,0.0156654149406707,473.773887721136,0.00685611635608042,-0.0547084556523667,"10-30m"
"29","f",-2.40994943109987,0.0121087169713946,0.0102612782512717,709.076058793657,0.0322548403916937,-0.0080374064489045,"0-30m"
"30","m",-2.40994943109987,0.0226539716948761,0.0134849246704219,621.138246269598,0.0491355392384362,-0.0038275958486839,"0-30m"
"31","f",-1.40994943109987,0.00689329312954438,0.00714720741269126,719.346841317071,0.0209251714343891,-0.00713858517530029,"0-30m"
"32","m",-1.40994943109987,0.0162296047719253,0.00956628799485098,673.171533144316,0.03501295617972,-0.00255374663586935,"0-30m"
"33","f",-0.409949431099873,0.00167786928769417,0.00513338378182661,655.770609972944,0.0117577205385918,-0.00840198196320349,"0-30m"
"34","m",-0.409949431099873,0.00980523784897454,0.00635291830652084,717.674870154015,0.0222777633286898,-0.00266728763074078,"0-30m"
"35","f",0.590050568900127,-0.00353755455415603,0.00557682679527485,684.309022312858,0.00741219176999791,-0.01448730087831,"0-30m"
"36","m",0.590050568900127,0.00338087092602374,0.00532731718538001,680.807197865159,0.0138408162531431,-0.00707907440109565,"0-30m"
"37","f",1.59005056890013,-0.00875297839600623,0.00808273950829508,719.377588894479,0.00711559829857176,-0.0246215550905842,"0-30m"
"38","m",1.59005056890013,-0.00304349599692706,0.00745493649559689,694.742250052736,0.011593410365467,-0.0176804023593211,"0-30m"
"39","f",2.59005056890013,-0.0139684022378564,0.0113596070185062,704.952773829362,0.0083343097692577,-0.0362711142449706,"0-30m"
"40","m",2.59005056890013,-0.00946786291987787,0.01104295613903,616.363721808845,0.0122185178781633,-0.0311542437179191,"0-30m"
"41","f",3.59005056890013,-0.0191838260797066,0.0149074135272462,693.217246936858,0.0100852701375332,-0.0484529222969465,"0-30m"
"42","m",3.59005056890013,-0.0158922298428287,0.0150828616250073,580.765905252786,0.0137313715387927,-0.0455158312244501,"0-30m"
"43","f",-2.40994943109987,0.00585021452221947,0.0124559726901195,639.265886539895,0.0303097817870056,-0.0186093527425666,"30-60m"
"44","m",-2.40994943109987,0.0222107435067426,0.0161427004923235,571.496888430146,0.0539170028095569,-0.0094955157960718,"30-60m"
"45","f",-1.40994943109987,0.00542110396327884,0.00886224612856907,712.769915977317,0.0228203322010562,-0.0119781242744985,"30-60m"
"46","m",-1.40994943109987,0.0152317279246189,0.0116838483811677,652.223714385927,0.0381742241320519,-0.0077107682828142,"30-60m"
"47","f",-0.409949431099873,0.00499199340433822,0.00662607579664795,718.073901474494,0.018000789934968,-0.00801680312629154,"30-60m"
"48","m",-0.409949431099873,0.00825271234249518,0.00807563842557118,735.953437545221,0.0241067459449666,-0.00760132125997621,"30-60m"
"49","f",0.590050568900127,0.00456288284539759,0.00715874833443412,733.369015608,0.0186169661882231,-0.00949120049742794,"30-60m"
"50","m",0.590050568900127,0.00127369676037149,0.00683356774636799,725.963555298068,0.0146896104993563,-0.0121422169786133,"30-60m"
"51","f",1.59005056890013,0.00413377228645697,0.0100283497247481,690.497885130084,0.0238234893656881,-0.0155559447927742,"30-60m"
"52","m",1.59005056890013,-0.00570531882175219,0.00899763577196991,642.301142313667,0.01196301669683,-0.0233736543403344,"30-60m"
"53","f",2.59005056890013,0.00370466172751634,0.0138515429437013,627.530662213527,0.0309056498154665,-0.0234963263604338,"30-60m"
"54","m",2.59005056890013,-0.0126843344038759,0.0129613016322843,515.526650418506,0.0127791312053346,-0.0381478000130864,"30-60m"
"55","f",3.59005056890013,0.00327555116857571,0.0180316391066869,594.281790264636,0.0386890379446489,-0.0321379356074974,"30-60m"
"56","m",3.59005056890013,-0.0196633499859996,0.0175445524222841,470.400882274752,0.0148120437615743,-0.0541387437335735,"30-60m"
"57","f",-2.40994943109987,0.00998103593646207,0.0103978866687181,648.685968944316,0.0303986146630002,-0.0104365427900761,"0-60m"
"58","m",-2.40994943109987,0.0201469549660318,0.0133333580572588,562.06080425524,0.0463362515276294,-0.00604234159556583,"0-60m"
"59","f",-1.40994943109987,0.00719076401892766,0.00738171362409824,711.150612539007,0.0216833221922403,-0.00730179415438502,"0-60m"
"60","m",-1.40994943109987,0.014739751419976,0.00960730771205995,641.478949142188,0.033605323568037,-0.00412582072808498,"0-60m"
"61","f",-0.409949431099873,0.00440049210139324,0.00546968763921053,701.79260721869,0.0151394034653842,-0.00633841926259767,"0-60m"
"62","m",-0.409949431099873,0.00933254787392031,0.00660150530702668,724.989629255418,0.02229289709645,-0.00362780134860933,"0-60m"
"63","f",0.590050568900127,0.00161022018385883,0.00586510082628683,722.297624538473,0.0131249013266649,-0.00990446095894729,"0-60m"
"64","m",0.590050568900127,0.00392534432786459,0.00562289690609331,714.893049251409,0.0149647096317394,-0.00711402097601025,"0-60m"
"65","f",1.59005056890013,-0.00118005173367559,0.00824229764835821,679.183157629214,0.0150033942500482,-0.0173634977173994,"0-60m"
"66","m",1.59005056890013,-0.00148185921819114,0.0075107691595311,632.66200391251,0.0132671937458621,-0.0162309121822444,"0-60m"
"67","f",2.59005056890013,-0.00397032365121001,0.0114247832073696,619.588544899458,0.0184656671252526,-0.0264063144276726,"0-60m"
"68","m",2.59005056890013,-0.00688906276424686,0.0108611198120788,511.655659950625,0.0144488153580136,-0.0282269408865074,"0-60m"
"69","f",3.59005056890013,-0.00676059556874442,0.0149053685005203,589.603379367352,0.0225134828760285,-0.0360346740135173,"0-60m"
"70","m",3.59005056890013,-0.0122962663103026,0.0147062496997112,468.396140953625,0.0166021252909381,-0.0411946579115433,"0-60m"
"71","f",-2.40994943109987,0.110979874598984,0.0243745990198636,712.406460342983,0.0631252366869426,0.158834512511026,"FOST"
"72","m",-2.40994943109987,0.194759995433243,0.0320530451683312,624.16971571769,0.131815125288295,0.25770486557819,"FOST"
"73","f",-1.40994943109987,0.0968022216595133,0.0171610265886679,756.564219023714,0.0631133330308817,0.130491110288145,"FOST"
"74","m",-1.40994943109987,0.16325671272077,0.0231107600101901,696.710819693166,0.117881629715896,0.208631795725644,"FOST"
"75","f",-0.409949431099873,0.0826245687200423,0.0126255840885093,699.373811261157,0.0578359797764679,0.107413157663617,"FOST"
"76","m",-0.409949431099873,0.131753430008297,0.015811544868645,757.178460523208,0.100713755371292,0.162793104645302,"FOST"
"77","f",0.590050568900127,0.0684469157805713,0.013741713771444,729.237730764454,0.0414688757346279,0.0954249558265146,"FOST"
"78","m",0.590050568900127,0.100250147295824,0.0132321907943013,723.674947391812,0.0742720821931159,0.126228212398533,"FOST"
"79","f",1.59005056890013,0.0542692628411003,0.0195649892659768,749.944200241225,0.0158606009964737,0.0926779246857268,"FOST"
"80","m",1.59005056890013,0.0687468645833516,0.0175887746730537,710.911229641713,0.0342147085752634,0.10327902059144,"FOST"
"81","f",2.59005056890013,0.0400916099016292,0.0272262317697567,710.211682054986,-0.0133619182566225,0.0935451380598809,"FOST"
"82","m",2.59005056890013,0.0372435818708789,0.025550485611455,592.82667778253,-0.0129368987415397,0.0874240624832975,"FOST"
"83","f",3.59005056890013,0.0259139569621582,0.0355565939255218,684.057870988599,-0.0438992094121207,0.0957271233364371,"FOST"
"84","m",3.59005056890013,0.00574029915840611,0.0347199918586098,544.470316252193,-0.0624612414508106,0.0739418397676228,"FOST"
"85","f",-2.40994943109987,0.0477203965402755,0.028991402237884,664.997982930828,-0.00920531507035799,0.104646108150909,"TH"
"86","m",-2.40994943109987,-0.125595149627373,0.0406061510964866,619.499855775589,-0.205337536874595,-0.0458527623801513,"TH"
"87","f",-1.40994943109987,0.0375403341176813,0.0200933629974878,651.788278100618,-0.00191519986996377,0.0769958681053263,"TH"
"88","m",-1.40994943109987,-0.0912047712401969,0.0289631222877919,646.320985126454,-0.148077950677017,-0.0343315918033769,"TH"
"89","f",-0.409949431099873,0.027360271695087,0.0143515377464983,555.066613488561,-0.000829693414194249,0.0555502368043683,"TH"
"90","m",-0.409949431099873,-0.0568143928530208,0.0192020814466091,659.743496756557,-0.0945189514477655,-0.0191098342582761,"TH"
